Agent_Breed,Policy_ID,Age,Social_Grade,Payment_at_Purchase,Attribute_Brand,Attribute_Price,Attribute_Promotions,Auto_Renew,Inertia_for_Switch
Breed_NC,132802001.0,81,3,250,25.3,16.6,5.1,0,4
Breed_NC,132802003.0,81,3,250,25.3,16.6,5.1,0,9
Breed_NC,132802004.0,81,3,250,25.3,16.6,5.1,0,1
Breed_NC,132802006.0,81,3,250,25.3,16.6,5.1,0,7
Breed_NC,132802009.0,81,3,250,25.3,16.6,5.1,0,1
Breed_NC,132802010.0,81,3,250,25.3,16.6,5.1,0,0
Breed_NC,132802011.0,81,3,250,25.3,16.6,5.1,0,0
Breed_NC,132802012.0,81,3,250,25.3,16.6,5.1,0,5
Breed_NC,132802015.0,81,3,250,25.3,16.6,5.1,0,9
Breed_NC,132802016.0,81,3,250,25.3,16.6,5.1,0,6
Breed_NC,132802017.0,81,3,250,25.3,16.6,5.1,0,2
Breed_NC,132802018.0,81,3,250,25.3,16.6,5.1,0,5
Breed_NC,24910601001.0,83,3,375,26.2,21.1,6.7,0,1
Breed_NC,24910601004.0,83,3,375,26.2,21.1,6.7,0,3
Breed_NC,24910601008.0,83,3,375,26.2,21.1,6.7,0,5
Breed_NC,24910601011.0,83,3,375,26.2,21.1,6.7,0,8
Breed_NC,101472003.0,71,4,250,22.7,14.1,3.9,0,5
Breed_NC,101472005.0,71,4,250,22.7,14.1,3.9,0,5
Breed_NC,101472006.0,71,4,250,22.7,14.1,3.9,0,9
Breed_NC,101472008.0,71,4,250,22.7,14.1,3.9,0,6
Breed_NC,101472009.0,71,4,250,22.7,14.1,3.9,0,6
Breed_NC,101472012.0,71,4,250,22.7,14.1,3.9,0,8
Breed_NC,101472013.0,71,4,250,22.7,14.1,3.9,0,2
Breed_NC,101472016.0,71,4,250,22.7,14.1,3.9,0,2
Breed_NC,101472017.0,71,4,250,22.7,14.1,3.9,0,5
Breed_NC,101472018.0,71,4,250,22.7,14.1,3.9,0,2
Breed_NC,135916001.0,84,4,250,11.9,43.8,4.6,0,4
Breed_NC,135916004.0,84,4,250,11.9,43.8,4.6,0,7
Breed_NC,135916005.0,84,4,250,11.9,43.8,4.6,0,3
Breed_NC,135916008.0,84,4,250,11.9,43.8,4.6,0,7
Breed_NC,135916010.0,84,4,250,11.9,43.8,4.6,0,0
Breed_NC,135916011.0,84,4,250,11.9,43.8,4.6,0,3
Breed_NC,135916013.0,84,4,250,11.9,43.8,4.6,0,6
Breed_NC,135916015.0,84,4,250,11.9,43.8,4.6,0,5
Breed_NC,135916016.0,84,4,250,11.9,43.8,4.6,0,9
